,city,state,population,total_food,latitude,longitude,total_scraped
555,Rogers,Arkansas,65021,723,36.32669897298331,-94.14321899414062,722
556,Schenectady,New York,64913,1433,42.80442313247336,-73.90494207500001,1000
557,East Orange,New Jersey,64789,1122,40.757583730819704,-74.10597405,1000
558,Lodi,California,64641,429,38.12455299223341,-121.28185272216797,429
559,Buckeye,Arizona,64629,2904,33.47394826078953,-112.437829184375,1000
560,West Des Moines,Iowa,64560,1368,41.598291152323,-93.73630096725773,1000
561,Santa Cruz,California,64465,864,36.99493327792447,-122.01985667836914,857
562,Madera,California,64444,2538,36.95959057269759,-120.00039997843001,1000
563,Youngstown,Ohio,64312,867,41.107163675,-80.65868341523438,863
564,North Port,Florida,64274,588,27.043157897033886,-82.20011465,588
565,Skokie,Illinois,64270,3191,42.04282841346186,-87.7450255916358,1000
566,Lake Elsinore,California,64205,1446,33.66579952808577,-117.32711791992188,1000
567,Janesville,Wisconsin,64159,246,42.69601651593795,-89.00642395019531,246
568,Cheyenne,Wyoming,64019,225,41.14087005185232,-104.7784059459961,225
569,Eden Prairie,Minnesota,63914,468,44.87112705,-93.42940983766266,467
570,Wellington,Florida,63900,610,26.656899969446798,-80.21288240498046,605
571,Jupiter,Florida,63813,535,26.900750603237576,-80.11527065278321,532
572,Sammamish,Washington,63773,2167,47.628373100000005,-122.01768223903301,1000
573,Lorain,Ohio,63730,554,41.44216572287799,-82.17293425423554,550
574,Pico Rivera,California,63635,4383,33.98616742504705,-118.09030076435548,1000
575,Montebello,California,63335,20114,34.0213211196035,-118.114013671875,1000
576,Encinitas,California,63131,4121,33.04488992556048,-117.2258607,1000
577,Auburn,Alabama,63118,311,32.602266146329754,-85.45189063554687,311
578,Waltham,Massachusetts,63002,1480,42.3786757291458,-71.20891403132325,1000
579,Blaine,Minnesota,62892,1234,45.201047156547276,-93.23792298608399,1000
580,Haverhill,Massachusetts,62873,464,42.76843034057856,-71.09916910058594,462
581,Rocklin,California,62787,2615,38.795257622821325,-121.2532397246235,1000
582,Tulare,California,62779,637,36.22080170866937,-119.29442780126953,635
583,Council Bluffs,Iowa,62524,1423,41.251437859975574,-95.86189270019531,999
584,Redmond,Washington,62458,3964,47.67042772693751,-122.12127685546875,1000
585,Coon Rapids,Minnesota,62359,1329,45.16553262617501,-93.29297965546874,1000
586,North Miami,Florida,62139,849,25.8941838,-80.1662879,833
587,Hamilton,Ohio,62127,1171,39.39848479704819,-84.54686081039749,1000
588,Rowlett,Texas,61999,743,32.92691769385888,-96.52806922604235,732
589,San Marcos,Texas,61980,339,29.86960004061698,-97.9434585571289,338
590,Lakeville,Minnesota,61938,658,44.69785357945925,-93.25778730934971,658
591,Springfield,Oregon,61893,1210,44.059913020794546,-122.98898055283203,1000
592,Grand Junction,Colorado,61881,414,39.08046186044061,-108.56071472167969,414
593,La Habra,California,61664,3419,33.92910718144901,-117.94914950708008,1000
594,Moore,Oklahoma,61415,453,35.33864297768905,-97.48389693579102,453
595,Burnsville,Minnesota,61290,495,44.760022450500024,-93.2766297543457,495
596,Taylor,Michigan,61177,2758,42.241132674353025,-83.2569667553711,1000
597,Eastvale,California,61151,5354,33.99867054724339,-117.5826859,1000
598,National City,California,61147,982,32.69648565,-117.09138773826604,964
599,Lehi,Utah,61130,330,40.42485208451505,-111.84769569570312,330
600,Port Orange,Florida,61105,454,29.121263925754103,-81.00201545551758,450
601,Monterey Park,California,61075,5761,34.063913,-118.1308364868164,1000
602,Marietta,Georgia,60941,4243,33.94559556882507,-84.5388217891458,1000
603,Terre Haute,Indiana,60852,255,39.46000782460262,-87.38384504550781,255
604,Malden,Massachusetts,60840,4135,42.42473443183573,-71.06496045,1000
605,Lakewood,Washington,60665,833,47.17781345,-122.4928991,828
606,Utica,New York,60652,352,43.09896587850953,-75.23506164550781,352
607,Cupertino,California,60643,2771,37.329047364810485,-122.02993452798975,1000
608,Brentwood,California,60532,576,37.93606339729598,-121.70757293701172,570
